"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC_ZZD","9300","8164","7013","5852","4786","3669","2622","1523","653"
"QUAD_STOREY","9407","8229","7089","5904","4805","3681","2632","1526","653"
"BH","8086","7146","6152","5140","4320","3342","2443","1434","631"
"oracle_ABH","9436","8263","7084","5898","4809","3681","2627","1530","654"
"STOREY","9381","8267","7120","5965","4861","3613","2525","1592","675"
"PC","9282","8178","7042","5942","4828","3595","2523","1580","675"
"PC_STOREY","9379","8259","7103","5970","4857","3611","2525","1592","675"
"QUAD","9363","8242","7087","5973","4842","3605","2525","1588","675"
"PC_ZZD","9279","8174","7041","5942","4825","3595","2520","1579","675"
"QUAD_STOREY","9379","8255","7093","5976","4856","3611","2525","1593","675"
"BH","8094","7144","6175","5291","4279","3304","2342","1493","661"
"oracle_ABH","9424","8288","7130","5977","4837","3601","2536","1583","681"
"STOREY","9416","8329","7049","5842","4736","3602","2537","1608","585"
"PC","9291","8231","6993","5817","4722","3583","2532","1605","586"
"PC_STOREY","9418","8327","7051","5849","4735","3602","2537","1610","586"
"QUAD","9393","8302","7049","5842","4732","3600","2533","1610","586"
"PC_ZZD","9291","8228","6989","5815","4720","3582","2532","1605","585"
"QUAD_STOREY","9418","8324","7058","5854","4734","3604","2536","1611","586"
"BH","8097","7147","6170","5173","4246","3288","2354","1525","573"
"oracle_ABH","9447","8307","7081","5865","4746","3607","2533","1610","586"
"STOREY","9524","8287","7158","6001","4776","3664","2636","1603","672"
"PC","9372","8216","7113","5966","4762","3656","2626","1603","669"
"PC_STOREY","9527","8292","7163","6008","4776","3662","2636","1603","669"
"QUAD","9490","8281","7156","6003","4776","3662","2634","1603","669"
"PC_ZZD","9372","8216","7112","5961","4760","3656","2625","1603","669"
"QUAD_STOREY","9530","8295","7169","6015","4775","3662","2636","1603","669"
"BH","8158","7188","6279","5281","4311","3340","2455","1526","644"
"oracle_ABH","9498","8299","7154","5988","4791","3668","2626","1603","672"
"STOREY","9415","8320","7053","6084","4844","3731","2636","1483","674"
"PC","9297","8222","6997","6055","4813","3720","2628","1482","671"
"PC_STOREY","9415","8315","7050","6084","4839","3732","2635","1483","673"
"QUAD","9394","8287","7041","6081","4832","3731","2632","1483","671"
"PC_ZZD","9295","8221","6995","6055","4813","3719","2626","1480","671"
"QUAD_STOREY","9415","8308","7050","6084","4836","3732","2634","1483","671"
"BH","8073","7153","6075","5325","4338","3416","2446","1402","648"
"oracle_ABH","9448","8315","7066","6066","4832","3732","2633","1483","676"
"STOREY","9447","8262","7188","5884","4781","3682","2705","1604","621"
"PC","9359","8171","7135","5846","4762","3661","2691","1602","622"
"PC_STOREY","9448","8268","7190","5879","4782","3680","2705","1604","621"
"QUAD","9434","8258","7182","5866","4777","3676","2699","1603","623"
"PC_ZZD","9359","8164","7135","5846","4762","3661","2691","1602","621"
"QUAD_STOREY","9447","8270","7194","5873","4782","3678","2705","1604","622"
"BH","8112","7123","6305","5165","4327","3365","2472","1504","597"
"oracle_ABH","9462","8273","7180","5881","4778","3673","2693","1602","624"
"STOREY","9447","8348","7109","5922","4701","3611","2508","1607","607"
"PC","9324","8271","7055","5882","4686","3605","2503","1605","607"
"PC_STOREY","9453","8344","7107","5924","4703","3612","2506","1605","607"
"QUAD","9418","8325","7097","5918","4703","3612","2505","1605","607"
"PC_ZZD","9322","8269","7050","5881","4686","3605","2500","1605","607"
"QUAD_STOREY","9455","8334","7102","5928","4703","3614","2505","1605","607"
