"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","271","128","118","80","65","22","6","8","0"
"PC_ZZD","271","128","118","80","65","22","6","8","0"
"BH","107","43","35","47","23","19","6","2","0"
"oracle_ABH","445","265","197","111","72","29","7","8","0"
"PC","267","148","109","57","36","20","35","4","0"
"PC_ZZD","267","148","109","56","36","20","35","4","0"
"BH","102","66","28","20","27","15","30","4","0"
"oracle_ABH","440","277","188","87","51","24","37","4","0"
"PC","208","153","92","73","52","23","17","8","0"
"PC_ZZD","208","153","92","73","50","23","17","8","0"
"BH","102","66","54","24","40","19","14","8","0"
"oracle_ABH","418","274","195","89","66","23","17","8","0"
"PC","189","121","83","99","62","11","8","0","1"
"PC_ZZD","189","121","83","99","62","11","8","0","1"
"BH","88","47","36","56","43","0","8","0","1"
"oracle_ABH","423","243","151","124","90","17","11","0","1"
"PC","250","149","88","73","31","29","3","7","0"
"PC_ZZD","250","149","87","72","28","29","3","7","0"
"BH","104","71","51","45","20","24","3","4","0"
"oracle_ABH","439","285","170","109","60","31","5","12","0"
"PC","191","152","107","52","53","22","9","5","2"
"PC_ZZD","191","152","107","52","53","22","9","5","2"
"BH","80","54","48","38","26","15","7","5","2"
"oracle_ABH","438","286","163","78","64","23","11","5","2"
"PC","238","151","155","61","77","36","3","8","0"
"PC_ZZD","238","151","155","61","77","36","3","8","0"
"BH","84","76","77","24","48","28","3","6","0"
"oracle_ABH","437","307","201","84","80","46","4","8","0"
"PC","187","140","132","73","40","16","2","9","0"
"PC_ZZD","183","140","132","73","40","16","2","9","0"
"BH","52","47","56","55","30","8","2","8","0"
"oracle_ABH","422","243","185","95","65","29","4","9","0"
"PC","222","128","130","51","29","18","10","0","0"
"PC_ZZD","222","128","130","50","29","18","10","0","0"
"BH","84","68","44","31","19","5","10","0","0"
"oracle_ABH","427","262","193","79","42","22","19","2","0"
"PC","224","177","112","63","19","30","13","10","0"
"PC_ZZD","224","177","108","63","19","30","13","10","0"
"BH","118","75","21","40","15","22","8","10","0"
"oracle_ABH","433","317","175","108","24","34","13","10","0"
"PC","210","180","88","65","48","40","6","1","1"
"PC_ZZD","208","179","88","65","48","40","6","1","1"
"BH","83","95","49","31","36","15","1","1","1"
