"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","1052","561","221","113","23","12","9","4","2"
"PC","506","308","145","27","15","12","2","4","2"
"PC_STOREY","1127","606","298","134","23","12","9","4","2"
"QUAD","934","518","211","104","23","12","7","4","2"
"PC_ZZD","506","308","145","27","15","12","2","4","2"
"QUAD_STOREY","1321","704","305","141","26","12","9","4","2"
"BH","68","39","53","25","8","7","1","4","2"
"oracle_ABH","6896","2499","807","268","77","30","9","5","2"
"STOREY","976","510","227","99","69","16","0","7","0"
"PC","472","298","137","82","8","15","0","7","0"
"PC_STOREY","1079","594","245","101","69","19","0","7","0"
"QUAD","841","463","194","99","68","16","0","7","0"
"PC_ZZD","472","298","137","82","8","15","0","7","0"
"QUAD_STOREY","1247","637","334","108","69","19","0","7","0"
"BH","43","70","77","38","6","10","0","6","0"
"oracle_ABH","6740","2354","888","309","111","27","0","11","0"
"STOREY","1194","598","297","159","30","14","10","4","0"
"PC","609","321","162","106","15","13","10","4","0"
"PC_STOREY","1349","702","320","161","30","14","10","4","0"
"QUAD","1063","568","280","159","17","14","10","4","0"
"PC_ZZD","609","321","162","106","15","13","10","4","0"
"QUAD_STOREY","1616","737","337","176","30","14","10","4","0"
"BH","109","131","20","31","5","11","7","4","0"
"oracle_ABH","6997","2460","861","361","64","15","10","4","0"
"STOREY","1075","452","291","143","46","1","3","1","0"
"PC","605","255","141","93","38","1","3","1","0"
"PC_STOREY","1284","506","295","146","51","1","3","1","0"
"QUAD","981","405","240","141","46","1","3","1","0"
"PC_ZZD","605","255","141","93","38","1","3","1","0"
"QUAD_STOREY","1481","630","342","146","51","1","3","1","0"
"BH","109","62","55","46","17","1","3","1","0"
"oracle_ABH","6885","2509","980","276","91","21","9","1","0"
"STOREY","1237","312","201","143","23","3","6","0","0"
"PC","604","174","140","101","19","3","2","0","0"
"PC_STOREY","1418","352","211","145","23","3","6","0","0"
"QUAD","1105","252","196","121","22","3","3","0","0"
"PC_ZZD","604","174","140","101","19","3","2","0","0"
"QUAD_STOREY","1571","389","273","154","24","3","6","0","0"
"BH","111","44","45","45","8","1","0","0","0"
"oracle_ABH","7016","2179","792","254","120","3","6","0","0"
"STOREY","962","444","212","196","54","3","0","2","3"
"PC","453","279","122","151","41","3","0","2","3"
"PC_STOREY","1051","525","232","202","56","3","0","2","3"
"QUAD","820","424","207","195","54","3","0","2","3"
"PC_ZZD","452","279","122","151","41","3","0","2","3"
"QUAD_STOREY","1284","633","259","211","58","3","0","2","3"
"BH","77","82","20","53","26","3","0","2","2"
"oracle_ABH","6902","2377","835","315","135","22","1","2","3"
"STOREY","1174","495","225","73","46","42","6","1","0"
"PC","482","272","130","58","33","38","5","1","0"
"PC_STOREY","1285","571","257","74","46","43","6","1","0"
"QUAD","926","424","216","73","41","42","5","1","0"
"PC_ZZD","479","266","129","58","33","38","5","1","0"
"QUAD_STOREY","1451","641","265","74","46","47","6","1","0"
"BH","127","70","66","19","27","31","3","1","0"
"oracle_ABH","6953","2582","1005","307","67","54","12","1","0"
"STOREY","1017","500","224","135","45","29","1","1","0"
"PC","431","257","140","80","45","27","0","1","0"
"PC_STOREY","1161","573","251","139","48","29","1","1","0"
"QUAD","864","431","207","117","45","29","1","1","0"
"PC_ZZD","431","257","140","80","45","27","0","1","0"
"QUAD_STOREY","1337","635","270","169","58","29","1","1","0"
"BH","68","76","58","4","2","23","0","1","0"
"oracle_ABH","6923","2653","849","304","73","30","1","1","0"
"STOREY","734","550","289","100","53","11","0","0","1"
"PC","260","364","189","75","50","11","0","0","1"
"PC_STOREY","1003","622","292","114","59","11","3","0","1"
"QUAD","647","520","280","100","53","11","0","0","1"
"PC_ZZD","255","364","189","75","50","11","0","0","1"
"QUAD_STOREY","1139","700","311","114","72","11","3","0","1"
"BH","67","74","30","34","39","9","0","0","0"
"oracle_ABH","6749","2558","833","273","159","17","3","0","1"
"STOREY","1108","424","264","121","30","12","2","1","0"
"PC","589","154","159","69","20","12","2","1","0"
"PC_STOREY","1252","515","306","126","30","17","2","1","0"
"QUAD","985","404","237","107","30","12","2","1","0"
"PC_ZZD","589","154","159","68","20","12","2","1","0"
"QUAD_STOREY","1515","620","321","144","30","18","2","1","0"
"BH","152","39","61","42","15","12","2","1","0"
"oracle_ABH","6998","2389","946","256","62","19","10","1","0"
"STOREY","924","573","285","158","39","48","1","3","8"
"PC","459","280","200","114","37","30","1","3","8"
"PC_STOREY","1066","611","308","172","39","48","1","3","8"
"QUAD","821","546","282","153","39","48","1","3","8"
"PC_ZZD","458","242","199","112","37","30","1","3","8"
"QUAD_STOREY","1192","690","342","172","39","48","3","3","8"
"BH","76","39","48","31","32","14","0","3","8"
"oracle_ABH","6890","2464","871","301","78","61","3","3","8"
"STOREY","877","623","298","215","58","21","4","0","0"
"PC","343","366","215","158","51","7","4","0","0"
"PC_STOREY","1014","671","371","227","63","21","4","0","0"
"QUAD","744","545","284","217","58","21","4","0","0"
"PC_ZZD","343","366","215","158","51","7","4","0","0"
"QUAD_STOREY","1159","747","417","259","73","21","4","0","0"
"BH","59","85","48","54","30","0","2","0","0"
"oracle_ABH","6878","2503","1005","447","134","41","8","0","0"
"STOREY","1061","663","283","96","57","6","2","2","0"
"PC","482","334","92","73","46","6","2","2","0"
"PC_STOREY","1187","683","412","101","60","6","2","2","0"
"QUAD","965","578","266","95","57","6","2","2","0"
"PC_ZZD","482","334","92","73","46","6","2","2","0"
"QUAD_STOREY","1401","733","422","102","64","6","2","2","0"
"BH","66","74","44","22","9","3","2","2","0"
"oracle_ABH","6785","2607","948","279","104","7","2","2","0"
"STOREY","1146","588","177","70","92","35","1","1","0"
"PC","559","297","106","35","65","24","1","1","0"
"PC_STOREY","1307","644","228","93","92","38","1","1","0"
"QUAD","1040","520","173","70","83","35","1","1","0"
"PC_ZZD","556","297","106","35","65","24","1","1","0"
"QUAD_STOREY","1442","696","235","96","94","39","1","1","0"
"BH","106","94","22","26","34","18","1","1","0"
"oracle_ABH","6901","2502","753","365","161","58","1","1","0"
"STOREY","981","599","292","98","5","12","15","0","3"
"PC","551","381","128","77","4","11","3","0","3"
"PC_STOREY","1107","669","322","113","5","13","15","0","3"
"QUAD","895","536","277","92","5","12","15","0","3"
"PC_ZZD","541","381","128","77","4","11","3","0","3"
"QUAD_STOREY","1260","703","354","117","5","13","15","0","3"
"BH","158","129","49","30","3","6","3","0","3"
"oracle_ABH","6878","2690","840","260","56","20","17","0","6"
"STOREY","1132","507","239","81","71","15","1","0","0"
"PC","649","196","149","40","52","2","1","0","0"
"PC_STOREY","1309","535","258","82","73","22","1","0","0"
"QUAD","1052","449","196","80","70","15","1","0","0"
"PC_ZZD","649","196","149","40","52","2","1","0","0"
"QUAD_STOREY","1468","562","263","127","76","22","1","0","0"
"BH","113","5","55","24","21","2","1","0","0"
"oracle_ABH","6932","2490","938","307","108","28","1","0","0"
"STOREY","1008","605","292","177","35","6","1","0","2"
"PC","414","301","162","93","18","0","0","0","2"
"PC_STOREY","1174","632","316","181","35","6","1","0","2"
"QUAD","887","551","281","154","34","6","1","0","2"
"PC_ZZD","414","299","161","93","18","0","0","0","2"
"QUAD_STOREY","1344","716","381","188","47","6","1","0","2"
