"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"oracle_adaptive_BH","6773","2565","814","304","115","12","9","1","0","0"
"STOREY","99","71","76","18","0","4","2","4","3","0"
"PC_DM","508","254","149","19","0","16","2","4","3","0"
"HYB_PC_STO","566","255","149","19","0","16","2","4","3","0"
"PC_QUAD","908","416","238","20","0","16","2","4","3","0"
"PC_ZZD","501","252","149","19","0","16","2","4","3","0"
"HYB_Quad_Storey","908","417","238","20","0","16","2","4","3","0"
"raw_BH","42","40","6","16","0","4","2","4","3","0"
"oracle_adaptive_BH","6778","2501","927","241","15","24","2","5","3","0"
"STOREY","169","96","68","10","4","6","0","0","0","0"
"PC_DM","414","334","146","61","5","11","0","0","0","0"
"HYB_PC_STO","422","337","146","66","5","11","0","0","0","0"
"PC_QUAD","885","500","172","98","25","11","3","0","0","0"
"PC_ZZD","413","325","146","61","5","11","0","0","0","0"
"HYB_Quad_Storey","885","500","172","98","25","11","3","0","0","0"
"raw_BH","83","55","42","9","4","6","0","0","0","0"
"oracle_adaptive_BH","6857","2601","823","231","62","36","3","0","0","0"
"STOREY","113","86","71","30","31","7","5","0","1","0"
"PC_DM","323","260","165","63","44","8","5","0","1","0"
"HYB_PC_STO","331","262","167","63","44","8","5","0","1","0"
"PC_QUAD","637","416","280","114","68","8","5","1","1","0"
"PC_ZZD","323","260","165","63","42","8","5","0","1","0"
"HYB_Quad_Storey","637","416","280","114","68","8","5","1","1","0"
"raw_BH","84","45","63","17","30","7","5","0","1","0"
"oracle_adaptive_BH","6812","2477","934","333","90","21","5","1","1","0"
"STOREY","132","51","10","28","23","6","0","0","0","0"
"PC_DM","413","194","121","92","51","12","0","0","0","0"
"HYB_PC_STO","421","194","123","102","51","12","0","0","0","0"
"PC_QUAD","801","351","153","156","62","12","0","0","0","0"
"PC_ZZD","413","194","121","92","51","12","0","0","0","0"
"HYB_Quad_Storey","807","352","153","156","62","12","0","0","0","0"
"raw_BH","64","42","9","23","11","6","0","0","0","0"
"oracle_adaptive_BH","6836","2461","906","354","111","35","0","0","0","0"
"STOREY","136","172","59","53","26","28","0","0","0","0"
"PC_DM","433","283","137","92","34","39","0","0","0","0"
"HYB_PC_STO","471","293","137","92","38","39","0","0","0","0"
"PC_QUAD","839","521","166","124","41","44","0","0","0","0"
"PC_ZZD","432","283","137","91","34","39","0","0","0","0"
"HYB_Quad_Storey","843","521","166","124","41","44","0","0","0","0"
"raw_BH","58","124","41","46","18","28","0","0","0","0"
"oracle_adaptive_BH","6803","2550","722","260","99","50","0","0","0","0"
"STOREY","81","58","115","25","3","4","6","1","0","0"
"PC_DM","324","281","188","64","3","4","6","1","0","0"
"HYB_PC_STO","335","284","188","64","3","4","6","1","0","0"
"PC_QUAD","725","472","243","85","3","4","6","1","0","0"
"PC_ZZD","324","281","188","64","3","4","6","1","0","0"
"HYB_Quad_Storey","728","472","243","85","3","4","6","1","0","0"
"raw_BH","45","49","90","18","3","4","6","1","0","0"
"oracle_adaptive_BH","6846","2491","917","306","47","5","7","1","0","0"
"STOREY","117","108","75","58","29","12","4","1","0","0"
"PC_DM","443","228","166","94","35","28","4","1","0","0"
"HYB_PC_STO","478","231","167","94","35","28","4","1","0","0"
"PC_QUAD","822","440","257","112","39","29","4","1","0","0"
"PC_ZZD","442","226","165","94","35","28","4","1","0","0"
"HYB_Quad_Storey","822","440","257","112","39","29","4","1","0","0"
"raw_BH","8","77","54","50","26","11","4","1","0","0"
"oracle_adaptive_BH","6844","2547","908","357","81","38","7","3","0","0"
"STOREY","156","103","4","19","15","3","5","0","1","0"
"PC_DM","387","271","150","38","51","3","9","0","1","0"
"HYB_PC_STO","405","272","152","40","51","3","9","0","1","0"
"PC_QUAD","796","445","173","46","59","3","9","0","1","0"
"PC_ZZD","387","270","150","37","51","3","9","0","1","0"
"HYB_Quad_Storey","796","445","173","46","59","3","9","0","1","0"
"raw_BH","71","50","4","19","13","3","5","0","1","0"
"oracle_adaptive_BH","6831","2432","907","319","134","20","9","0","1","0"
"STOREY","205","164","93","9","22","12","7","2","0","0"
"PC_DM","543","332","153","51","50","18","7","2","0","0"
"HYB_PC_STO","571","338","153","51","50","18","7","2","0","0"
"PC_QUAD","962","536","261","80","53","20","8","3","0","0"
"PC_ZZD","535","329","153","51","50","18","7","2","0","0"
"HYB_Quad_Storey","962","536","261","81","53","20","8","3","0","0"
"raw_BH","125","94","34","8","17","7","7","2","0","0"
"oracle_adaptive_BH","6879","2446","933","230","96","25","16","3","0","0"
"STOREY","231","98","78","36","21","11","3","1","0","0"
"PC_DM","428","262","134","88","60","14","3","1","0","0"
"HYB_PC_STO","442","296","134","99","60","14","3","1","0","0"
"PC_QUAD","790","432","187","117","62","14","3","1","0","0"
"PC_ZZD","425","261","134","88","60","14","3","1","0","0"
"HYB_Quad_Storey","790","432","187","117","62","14","3","1","0","0"
"raw_BH","103","67","53","30","20","11","3","1","0","0"
"oracle_adaptive_BH","6906","2563","858","339","103","32","3","1","0","0"
"STOREY","202","101","68","11","8","3","1","8","0","0"
"PC_DM","549","259","138","13","9","3","1","8","0","0"
"HYB_PC_STO","565","274","141","13","10","3","1","8","0","0"
"PC_QUAD","980","443","207","85","21","3","5","8","0","0"
"PC_ZZD","549","259","138","13","9","3","1","8","0","0"
"HYB_Quad_Storey","981","443","207","85","21","3","5","8","0","0"
"raw_BH","140","60","26","1","8","3","1","8","0","0"
"oracle_adaptive_BH","6838","2490","997","299","35","11","5","10","0","0"
"STOREY","120","94","58","18","0","11","9","2","1","0"
"PC_DM","469","324","155","25","15","12","10","2","1","0"
"HYB_PC_STO","478","329","155","25","15","12","10","2","1","0"
"PC_QUAD","1002","514","225","40","60","12","11","2","1","0"
"PC_ZZD","469","324","155","25","15","12","10","2","1","0"
"HYB_Quad_Storey","1003","515","225","40","60","12","11","2","1","0"
"raw_BH","46","82","48","18","0","8","8","2","1","0"
"oracle_adaptive_BH","6976","2625","810","318","72","20","15","2","1","0"
"STOREY","174","105","69","39","16","0","11","6","0","0"
"PC_DM","397","243","200","48","17","0","11","6","0","0"
"HYB_PC_STO","400","267","240","60","17","0","11","7","0","0"
"PC_QUAD","846","443","329","77","17","0","11","7","0","0"
"PC_ZZD","394","243","200","46","17","0","11","6","0","0"
"HYB_Quad_Storey","847","443","329","77","17","0","11","7","0","0"
"raw_BH","81","36","28","3","16","0","11","6","0","0"
"oracle_adaptive_BH","6878","2437","1066","241","39","0","12","8","0","0"
"STOREY","127","82","92","52","18","19","1","1","0","0"
"PC_DM","578","287","146","99","32","21","1","1","0","0"
"HYB_PC_STO","588","313","146","99","34","21","1","1","0","0"
"PC_QUAD","939","563","264","107","44","25","1","1","0","0"
"PC_ZZD","576","286","146","99","32","21","1","1","0","0"
"HYB_Quad_Storey","940","564","264","107","44","25","1","1","0","0"
"raw_BH","97","55","46","49","17","16","1","1","0","0"
"oracle_adaptive_BH","6879","2561","1053","310","96","30","14","2","0","0"
"STOREY","281","144","49","35","20","5","0","0","0","0"
"PC_DM","581","351","125","99","40","8","0","0","0","0"
"HYB_PC_STO","587","356","127","99","40","8","0","0","0","0"
"PC_QUAD","993","539","212","157","40","8","0","0","0","0"
"PC_ZZD","581","349","119","99","40","8","0","0","0","0"
"HYB_Quad_Storey","993","539","212","157","40","8","0","0","0","0"
"raw_BH","160","82","40","30","19","5","0","0","0","0"
"oracle_adaptive_BH","6799","2554","873","377","98","10","0","0","0","0"
"STOREY","268","166","66","11","13","7","0","0","2","1"
"PC_DM","562","311","125","61","13","10","13","0","2","1"
"HYB_PC_STO","574","322","127","67","13","10","13","0","2","1"
"PC_QUAD","887","531","156","88","13","10","13","0","2","1"
"PC_ZZD","561","311","125","61","13","10","0","0","2","1"
"HYB_Quad_Storey","890","531","156","88","13","10","13","0","2","1"
"raw_BH","153","106","43","8","11","7","0","0","2","1"
"oracle_adaptive_BH","6723","2592","830","240","72","65","14","0","2","1"
"STOREY","183","207","43","0","17","8","0","0","0","0"
"PC_DM","447","396","141","19","44","11","0","0","0","0"
"HYB_PC_STO","448","409","157","19","46","11","0","0","0","0"
"PC_QUAD","897","537","237","32","53","12","2","0","0","0"
"PC_ZZD","446","390","130","19","44","11","0","0","0","0"
"HYB_Quad_Storey","897","538","237","32","53","12","2","0","0","0"
"raw_BH","112","164","19","0","16","8","0","0","0","0"
"oracle_adaptive_BH","6825","2381","885","324","101","23","2","0","0","0"
"STOREY","201","99","60","33","5","14","2","1","1","0"
"PC_DM","567","306","120","38","6","19","2","1","1","0"
"HYB_PC_STO","605","333","125","38","6","19","2","1","1","0"
"PC_QUAD","1017","532","205","65","7","20","4","1","1","0"
"PC_ZZD","567","304","120","38","6","19","2","1","1","0"
"HYB_Quad_Storey","1017","532","205","65","7","20","4","1","1","0"
"raw_BH","68","71","38","31","4","12","2","1","1","0"
"oracle_adaptive_BH","6916","2525","875","250","67","27","4","1","1","0"
"STOREY","204","79","26","28","30","26","2","1","0","0"
"PC_DM","463","281","85","56","75","39","2","1","0","0"
"HYB_PC_STO","484","285","86","56","75","74","2","1","0","0"
"PC_QUAD","885","408","149","59","85","78","2","1","0","0"
"PC_ZZD","460","281","85","56","72","38","2","1","0","0"
"HYB_Quad_Storey","885","408","149","59","85","78","2","1","0","0"
"raw_BH","96","28","24","22","23","14","2","0","0","0"
"oracle_adaptive_BH","6947","2435","971","233","129","109","2","1","0","0"
"STOREY","194","117","102","5","21","15","4","1","0","0"
"PC_DM","517","288","191","13","45","20","8","1","0","0"
"HYB_PC_STO","544","291","194","13","45","21","8","1","0","0"
"PC_QUAD","812","462","265","21","46","26","8","1","0","0"
"PC_ZZD","516","288","191","13","45","20","8","1","0","0"
"HYB_Quad_Storey","813","462","265","21","46","26","8","1","0","0"
"raw_BH","132","35","90","4","15","11","4","1","0","0"
"oracle_adaptive_BH","6743","2620","763","216","105","34","8","4","0","0"
"STOREY","233","109","48","32","45","17","0","0","2","0"
"PC_DM","452","290","124","70","60","17","0","0","2","0"
"HYB_PC_STO","466","307","128","70","60","17","0","0","2","0"
"PC_QUAD","844","448","204","102","71","17","0","0","2","0"
"PC_ZZD","452","290","124","70","60","17","0","0","2","0"
"HYB_Quad_Storey","844","448","204","102","71","17","0","0","2","0"
"raw_BH","116","50","28","29","43","16","0","0","2","0"
"oracle_adaptive_BH","6992","2616","891","322","127","29","0","0","2","0"
"STOREY","118","79","96","36","13","8","1","0","0","0"
"PC_DM","411","176","146","72","30","9","1","0","0","0"
"HYB_PC_STO","420","180","149","72","30","9","1","0","0","0"
"PC_QUAD","682","345","217","93","34","9","1","0","0","0"
"PC_ZZD","408","176","146","72","30","9","1","0","0","0"
"HYB_Quad_Storey","682","345","217","93","34","9","1","0","0","0"
"raw_BH","88","33","71","20","10","3","1","0","0","0"
"oracle_adaptive_BH","6748","2809","899","290","88","14","1","0","0","0"
"STOREY","192","84","14","36","12","18","3","5","0","0"
"PC_DM","522","276","89","46","18","18","9","5","0","0"
"HYB_PC_STO","557","303","91","46","18","18","9","5","0","0"
"PC_QUAD","854","464","216","54","23","18","9","5","0","0"
"PC_ZZD","522","276","89","46","18","18","9","5","0","0"
"HYB_Quad_Storey","855","464","216","54","23","18","9","5","0","0"
"raw_BH","24","52","12","32","4","16","3","5","0","0"
"oracle_adaptive_BH","6775","2642","975","193","91","32","11","5","0","0"
"STOREY","189","124","107","43","5","3","0","1","3","0"
"PC_DM","411","241","173","65","12","11","0","1","3","0"
"HYB_PC_STO","432","241","174","70","13","11","0","1","3","0"
"PC_QUAD","910","434","246","74","18","11","0","1","3","0"
"PC_ZZD","401","233","173","65","12","11","0","1","3","0"
"HYB_Quad_Storey","910","435","246","74","18","11","0","1","3","0"
"raw_BH","119","88","85","28","1","3","0","1","3","0"
"oracle_adaptive_BH","6813","2430","809","316","39","12","5","1","3","0"
"STOREY","246","146","59","43","20","6","1","0","0","0"
"PC_DM","502","323","127","61","23","21","1","0","0","0"
"HYB_PC_STO","539","325","127","61","23","21","1","0","0","0"
"PC_QUAD","890","488","184","81","39","22","1","0","0","0"
"PC_ZZD","502","323","127","61","23","21","1","0","0","0"
"HYB_Quad_Storey","891","488","187","81","39","22","1","0","0","0"
"raw_BH","119","106","50","36","17","6","1","0","0","0"
"oracle_adaptive_BH","6808","2382","953","291","85","28","1","0","0","0"
"STOREY","171","146","57","55","7","20","0","3","0","0"
"PC_DM","512","337","166","83","7","35","0","5","0","0"
"HYB_PC_STO","521","345","166","83","7","35","0","5","0","0"
"PC_QUAD","774","558","236","117","7","40","0","5","0","0"
"PC_ZZD","504","326","165","83","7","35","0","3","0","0"
"HYB_Quad_Storey","778","559","236","117","7","40","0","5","0","0"
"raw_BH","121","127","53","40","6","18","0","3","0","0"
"oracle_adaptive_BH","6838","2507","832","294","29","50","0","5","0","0"
"STOREY","201","98","73","66","17","1","3","2","0","0"
"PC_DM","424","194","119","76","20","1","3","2","0","0"
"HYB_PC_STO","428","197","121","76","20","1","3","2","0","0"
"PC_QUAD","773","387","257","102","45","1","3","2","0","0"
"PC_ZZD","424","193","119","76","20","1","3","2","0","0"
"HYB_Quad_Storey","773","387","258","102","45","1","3","2","0","0"
"raw_BH","143","70","29","32","11","1","3","2","0","0"
"oracle_adaptive_BH","6846","2490","1001","255","120","1","8","2","0","0"
"STOREY","199","121","78","22","9","8","4","2","5","0"
"PC_DM","481","261","133","50","12","16","6","2","5","0"
"HYB_PC_STO","486","265","136","52","12","17","6","2","5","0"
"PC_QUAD","870","446","224","101","13","24","7","2","5","0"
"PC_ZZD","467","261","133","50","12","16","6","2","5","0"
"HYB_Quad_Storey","870","446","224","101","13","24","7","2","5","0"
"raw_BH","126","62","55","18","9","8","4","2","5","0"
"oracle_adaptive_BH","6891","2438","1026","259","38","30","7","2","5","0"
"STOREY","221","122","90","61","17","0","0","0","3","0"
"PC_DM","559","267","244","83","55","0","0","2","3","0"
"HYB_PC_STO","578","272","244","85","55","0","0","2","3","0"
"PC_QUAD","959","478","301","117","63","0","0","2","3","0"
"PC_ZZD","558","267","244","83","55","0","0","2","3","0"
"HYB_Quad_Storey","959","478","301","117","63","0","0","2","3","0"
"raw_BH","108","72","60","19","6","0","0","0","3","0"
"oracle_adaptive_BH","7020","2414","1087","310","117","0","0","5","3","0"
"STOREY","198","47","84","33","32","1","1","0","2","0"
"PC_DM","520","135","218","50","38","16","1","2","2","0"
"HYB_PC_STO","530","142","221","50","38","17","1","2","2","0"
"PC_QUAD","825","373","278","87","56","19","1","2","2","0"
"PC_ZZD","505","135","218","50","38","14","1","2","2","0"
"HYB_Quad_Storey","825","373","278","87","56","19","1","2","2","0"
"raw_BH","118","32","54","29","19","1","1","0","2","0"
"oracle_adaptive_BH","6836","2290","927","277","121","20","1","2","2","0"
"STOREY","248","145","64","4","27","9","3","7","1","0"
"PC_DM","561","362","131","57","35","18","3","7","1","0"
"HYB_PC_STO","579","366","131","59","35","18","3","7","1","0"
"PC_QUAD","955","585","211","67","44","29","3","7","1","0"
"PC_ZZD","560","358","131","57","35","18","3","7","1","0"
"HYB_Quad_Storey","965","585","211","67","44","29","3","7","1","0"
"raw_BH","105","57","42","4","23","9","3","7","1","0"
"oracle_adaptive_BH","6982","2505","944","197","122","65","10","8","1","0"
"STOREY","182","138","85","58","27","9","8","0","2","0"
"PC_DM","462","230","187","117","36","11","8","0","2","0"
"HYB_PC_STO","488","234","190","122","36","11","8","0","2","0"
"PC_QUAD","958","416","327","150","36","12","8","0","2","0"
"PC_ZZD","456","230","187","117","36","11","8","0","2","0"
