"method","V2","V3","V4"
"STOREY_RANDOM","0.907632779726142","0.750574295950889","0.610249061696465"
"PC_RANDOM","0.884480123487893","0.72985760986517","0.554030807058101"
"STOREY","1.436","1.18","0.9"
"PC","1.51642361877717","1.23550768429018","0.96252744421311"
"RES_STOREY","0.918461452711999","0.74940289931389","0.584696295039135"
"PC_midp","0.925122489385722","0.751193464055732","0.603016950652636"
"STOREY_RANDOM","0.922474616523285","0.750561466117414","0.603112467740503"
"PC_RANDOM","0.914423254029328","0.736757036722377","0.576325469122941"
"STOREY","1.38","1.132","0.844"
"PC","1.46088218789101","1.20671344681487","0.931834543989488"
"RES_STOREY","0.860534448538138","0.712471262213538","0.539522834839086"
"PC_midp","0.873824347012384","0.731881439047081","0.574742553192634"
"STOREY_RANDOM","0.871373324882218","0.731053344471598","0.574335130584885"
"PC_RANDOM","0.8639808637793","0.694945461486931","0.532392305194005"
"STOREY","1.444","1.128","0.812"
"PC","1.50054910967174","1.20860554248985","0.899704155320753"
"RES_STOREY","0.913866063818737","0.71714578483952","0.511935478617157"
"PC_midp","0.90878348938711","0.739251122180164","0.557162879880963"
"STOREY_RANDOM","0.907033456445619","0.740112600996737","0.555562343903593"
"PC_RANDOM","0.90263026519773","0.707416704182175","0.494067622681561"
"STOREY","1.512","1.136","0.856"
"PC","1.56298241186017","1.20644696942576","0.931903461399714"
"RES_STOREY","0.951001936169445","0.724186055285125","0.547309708069199"
"PC_midp","0.952996008350595","0.744746289232848","0.575400487223408"
"STOREY_RANDOM","0.950222322527512","0.743737007123329","0.575282679882898"
"PC_RANDOM","0.965696874066765","0.710600545101914","0.526510755194318"
"STOREY","1.42","1.14","0.832"
"PC","1.49994217031043","1.2217575567195","0.913141633806401"
"RES_STOREY","0.890019852428031","0.721542783016863","0.524099420461271"
"PC_midp","0.896384457842307","0.744570719183599","0.563597774404627"
"STOREY_RANDOM","0.895309252502674","0.743513166375829","0.561872491818013"
"PC_RANDOM","0.882903991473149","0.714688226162411","0.506938295740439"
"STOREY","1.52","1.156","0.856"
"PC","1.56452921148809","1.22566414904311","0.927964104259663"
"RES_STOREY","0.969606159411142","0.733242675751501","0.545643443062502"
